[2026-06-27 18:26:03,178] 13 root - INFO - Starting data ingestion process
[2026-06-27 18:26:11,254] 68 root - INFO - Performed train-test split on the dataframe
[2026-06-27 18:26:11,254] 70 root - INFO - Exited split_data_as_train_test method of DataIngestion class
[2026-06-27 18:26:11,254] 78 root - INFO - Created directories for train and test files if they did not exist
[2026-06-27 18:26:11,286] 81 root - INFO - Saved train and test datasets to their respective file paths
[2026-06-27 18:26:11,286] 15 root - INFO - Data ingestion process completed successfully
[2026-06-27 18:26:11,286] 19 root - INFO - Starting data validation process
[2026-06-27 18:26:11,361] 31 root - INFO - Required number of columns: 31
[2026-06-27 18:26:11,361] 32 root - INFO - Actual number of columns in DataFrame: 31
[2026-06-27 18:26:11,361] 31 root - INFO - Required number of columns: 31
[2026-06-27 18:26:11,361] 32 root - INFO - Actual number of columns in DataFrame: 31
[2026-06-27 18:26:11,441] 135 root - INFO - Data validation completed successfully. No issues found.
[2026-06-27 18:26:11,473] 143 root - INFO - Validation Successful
[2026-06-27 18:26:11,473] 21 root - INFO - Data validation process completed successfully
